Step,Speed (m/s),Acceleration (m/s^2),Fuel HBEFA (mg)
226,4.78,2.258,15.938
227,4.8,2.007,14.971
228,4.816,1.571,13.25
229,4.833,1.791,14.156
230,4.848,1.497,12.988
231,4.862,1.324,12.305
232,4.884,2.262,16.132
233,4.899,1.487,13
234,4.923,2.373,16.655
235,4.943,2.042,15.331
236,4.966,2.27,16.306
237,4.984,1.754,14.2
238,4.999,1.497,13.148
239,5.021,2.283,16.455
240,5.047,2.561,17.668
241,5.063,1.595,13.633
242,5.076,1.358,12.647
243,5.09,1.372,12.719
244,5.111,2.097,15.822
245,5.128,1.684,14.086
246,5.141,1.343,12.645
247,5.163,2.142,16.099
248,5.183,2.06,15.777
249,5.202,1.835,14.833
250,5.221,1.92,15.227
251,5.235,1.388,12.933
252,5.255,2.04,15.804
253,5.27,1.476,13.354
254,5.293,2.321,17.095
255,5.31,1.642,14.13
256,5.324,1.431,13.211
257,5.341,1.667,14.277
258,5.354,1.353,12.897
259,5.37,1.629,14.147
260,5.395,2.439,17.807
261,5.416,2.158,16.582
262,5.435,1.84,15.175
263,5.457,2.189,16.792
264,5.479,2.229,17.009
265,5.495,1.592,14.127
266,5.514,1.868,15.415
267,5.537,2.34,17.618
268,5.556,1.874,15.5
269,5.578,2.254,17.294
270,5.599,2.066,16.458
271,5.621,2.156,16.91
272,5.644,2.382,18.012
273,5.664,1.988,16.194
274,5.683,1.835,15.498
275,5.705,2.21,17.308
276,5.724,1.903,15.877
277,5.745,2.165,17.16
278,5.762,1.715,15.036
279,5.786,2.335,18.045
280,5.807,2.068,16.796
281,5.825,1.856,15.799
282,5.844,1.874,15.915
283,5.867,2.369,18.363
284,5.89,2.265,17.895
285,5.908,1.739,15.344
286,5.924,1.605,14.704
287,5.947,2.338,18.356
288,5.963,1.644,14.945
289,5.979,1.52,14.348
290,5.999,2.036,16.947
291,6.02,2.088,17.239
292,6.041,2.092,17.291
293,6.061,2.069,17.211
294,6.082,2.082,17.311
295,6.107,2.46,19.268
296,6.125,1.765,15.764
297,6.141,1.643,15.165
298,6.165,2.403,19.089
299,6.18,1.46,14.274
300,6.205,2.5,19.662
301,6.223,1.857,16.377
302,6.247,2.364,19.042
303,6.263,1.608,15.134
304,6.279,1.562,14.916
305,6.301,2.268,18.639
306,6.315,1.393,14.071
307,6.328,1.309,13.645
308,6.346,1.763,16.054
309,6.365,1.957,17.111
310,6.384,1.827,16.447
311,6.401,1.726,15.935
312,6.417,1.595,15.255
313,6.442,2.486,20.06
314,6.464,2.178,18.445
315,6.48,1.676,15.771
316,6.502,2.21,18.688
317,6.518,1.545,15.111
318,6.54,2.262,19.039
319,6.565,2.443,20.07
320,6.59,2.488,20.365
321,6.608,1.841,16.847
322,6.622,1.331,14.058
323,6.638,1.616,15.646
324,6.654,1.644,15.822
325,6.67,1.623,15.728
326,6.686,1.604,15.64
327,6.706,1.961,17.655
328,6.725,1.874,17.2
329,6.75,2.482,20.65
330,6.768,1.803,16.864
331,6.781,1.305,14.074
332,6.805,2.42,20.408
333,6.828,2.317,19.868
334,6.844,1.62,15.93
335,6.869,2.44,20.646
336,6.883,1.419,14.829
337,6.902,1.932,17.795
338,6.928,2.565,21.48
339,6.953,2.508,21.202
340,6.974,2.134,19.074
341,6.999,2.461,21.024
342,7.018,1.96,18.137
343,7.043,2.458,21.093
344,7.061,1.82,17.383
345,7.077,1.623,16.245
346,7.093,1.593,16.094
347,7.117,2.357,20.642
348,7.142,2.498,21.525
349,7.159,1.729,16.985
350,7.184,2.5,21.623
351,7.204,2.001,18.673
352,7.224,2.015,18.791
353,7.238,1.405,15.146
354,7.26,2.168,19.775
355,7.28,1.961,18.556
356,7.3,2.057,19.168
357,7.314,1.324,14.735
358,7.333,1.923,18.406
359,7.351,1.779,17.553
360,7.368,1.786,17.624
361,7.388,1.943,18.613
362,7.405,1.749,17.45
363,7.424,1.915,18.501
364,7.45,2.571,22.601
365,7.473,2.261,20.722
366,7.497,2.402,21.648
367,7.519,2.186,20.339
368,7.538,1.914,18.672
369,7.562,2.412,21.836
370,7.579,1.755,17.731
371,7.605,2.591,23.057
372,7.63,2.426,22.061
373,7.655,2.495,22.549
374,7.674,1.905,18.823
375,7.696,2.199,20.742
376,7.715,1.958,19.228
377,7.737,2.228,20.999
378,7.752,1.42,15.818
379,7.769,1.727,17.82
380,7.785,1.568,16.817
381,7.809,2.413,22.336
382,7.825,1.581,16.954
383,7.841,1.638,17.342
384,7.862,2.127,20.571
385,7.881,1.908,19.17
386,7.899,1.802,18.5
387,7.915,1.614,17.284
388,7.936,2.057,20.237
389,7.956,1.989,19.823
390,7.979,2.352,22.27
391,7.995,1.584,17.191
392,8.019,2.324,22.154
393,8.042,2.393,22.665
394,8.065,2.266,21.856
395,8.079,1.341,15.672
396,8.1,2.13,21.005
397,8.118,1.819,18.938
398,8.134,1.571,17.284
399,8.153,1.95,19.878
400,8.173,1.936,19.817
401,8.191,1.809,18.981
402,8.207,1.674,18.083
403,8.22,1.302,15.562
404,8.241,2.039,20.634
405,8.258,1.764,18.774
406,8.276,1.76,18.774
407,8.295,1.878,19.613
408,8.311,1.569,17.502
409,8.324,1.378,16.2
410,8.339,1.479,16.916
411,8.359,1.989,20.486
412,8.378,1.905,19.928
413,8.404,2.575,24.654
414,8.425,2.125,21.549
415,8.447,2.216,22.225
416,8.462,1.516,17.332
417,8.488,2.518,24.431
418,8.504,1.646,18.301
419,8.518,1.446,16.902
420,8.533,1.479,17.155
421,8.553,1.944,20.487
422,8.567,1.399,16.631
423,8.583,1.625,18.257
424,8.607,2.356,23.524
425,8.629,2.245,22.772
426,8.645,1.609,18.227
427,8.661,1.592,18.131
428,8.675,1.402,16.775
429,8.698,2.328,23.5
430,8.717,1.88,20.294
431,8.734,1.71,19.088
432,8.75,1.622,18.466
433,8.769,1.882,20.39
434,8.792,2.235,23.008
435,8.807,1.544,17.974
436,8.83,2.297,23.53
437,8.852,2.19,22.791
438,8.867,1.507,17.783
439,8.885,1.79,19.896
440,8.899,1.381,16.885
441,8.924,2.557,25.643
442,8.942,1.756,19.729
443,8.964,2.183,22.945
444,8.986,2.277,23.686
445,9.003,1.711,19.485
446,9.023,1.982,21.542
447,9.043,1.994,21.671
448,9.068,2.518,25.659
449,9.083,1.451,17.635
450,9.099,1.62,18.938
451,9.116,1.717,19.69
452,9.133,1.717,19.716
453,9.155,2.164,23.152
454,9.18,2.528,25.978
