Step,Speed (m/s),Acceleration (m/s^2),Fuel HBEFA (mg)
5518,19.703,-4.5,0
5519,19.658,-4.5,0
5520,19.613,-4.5,0
5521,19.568,-4.5,0
5522,19.523,-4.5,0
5523,19.478,-4.5,0
5524,19.433,-4.5,0
5525,19.388,-4.5,0
5526,19.343,-4.5,0
5527,19.298,-4.5,0
5528,19.253,-4.5,0
5529,19.208,-4.5,0
5530,19.163,-4.5,0
5531,19.118,-4.5,0
5532,19.073,-4.5,0
5533,19.028,-4.5,0
5534,18.983,-4.5,0
5535,18.938,-4.5,0
5536,18.893,-4.5,0
5537,18.848,-4.5,0
5538,18.803,-4.5,0
5539,18.758,-4.499,0
5540,18.713,-4.5,0
5541,18.668,-4.5,0
5542,18.623,-4.5,0
5543,18.578,-4.5,0
5544,18.533,-4.5,0
5545,18.488,-4.5,0
5546,18.443,-4.5,0
5547,18.398,-4.5,0
5548,18.353,-4.5,0
5549,18.308,-4.5,0
5550,18.263,-4.5,0
5551,18.218,-4.5,0
5552,18.173,-4.5,0
5553,18.128,-4.5,0
5554,18.083,-4.5,0
5555,18.038,-4.5,0
5556,17.993,-4.5,0
5557,17.948,-4.5,0
5558,17.903,-4.5,0
5559,17.858,-4.5,0
5560,17.813,-4.5,0
5561,17.768,-4.5,0
5562,17.723,-4.5,0
5563,17.678,-4.5,0
5564,17.633,-4.5,0
5565,17.588,-4.5,0
5566,17.543,-4.5,0
5567,17.498,-4.5,0
5568,17.453,-4.5,0
5569,17.408,-4.5,0
5570,17.363,-4.5,0
5571,17.318,-4.5,0
5572,17.273,-4.5,0
5573,17.228,-4.5,0
5574,17.183,-4.5,0
5575,17.138,-4.5,0
5576,17.093,-4.5,0
5577,17.048,-4.5,0
5578,17.003,-4.5,0
5579,16.958,-4.5,0
5580,16.913,-4.5,0
5581,16.868,-4.5,0
5582,16.823,-4.5,0
5583,16.778,-4.5,0
5584,16.733,-4.5,0
5585,16.688,-4.5,0
5586,16.643,-4.5,0
5587,16.598,-4.5,0
5588,16.553,-4.5,0
5589,16.508,-4.5,0
5590,16.463,-4.5,0
5591,16.418,-4.5,0
5592,16.373,-4.5,0
5593,16.328,-4.5,0
5594,16.283,-4.5,0
5595,16.238,-4.5,0
5596,16.193,-4.5,0
5597,16.148,-4.5,0
5598,16.103,-4.5,0
5599,16.058,-4.5,0
5600,16.013,-4.5,0
5601,15.968,-4.5,0
5602,15.923,-4.5,0
5603,15.878,-4.5,0
5604,15.833,-4.5,0
5605,15.788,-4.5,0
5606,15.743,-4.5,0
5607,15.698,-4.5,0
5608,15.653,-4.5,0
5609,15.608,-4.5,0
5610,15.563,-4.5,0
5611,15.518,-4.5,0
5612,15.473,-4.5,0
5613,15.428,-4.5,0
5614,15.383,-4.5,0
5615,15.338,-4.5,0
5616,15.293,-4.5,0
5617,15.248,-4.5,0
5618,15.203,-4.5,0
5619,15.158,-4.493,0
5620,15.113,-4.5,0
5621,15.068,-4.5,0
5622,15.023,-4.5,0
5623,14.978,-4.5,0
5624,14.933,-4.5,0
5625,14.888,-4.5,0
5626,14.843,-4.5,0
5627,14.798,-4.5,0
5628,14.753,-4.5,0
5629,14.708,-4.5,0
5630,14.663,-4.5,0
5631,14.618,-4.5,0
5632,14.573,-4.5,0
5633,14.528,-4.5,0
5634,14.483,-4.5,0
5635,14.438,-4.5,0
5636,14.393,-4.5,0
5637,14.348,-4.5,0
5638,14.303,-4.5,0
5639,14.258,-4.5,0
5640,14.213,-4.5,0
5641,14.168,-4.5,0
5642,14.123,-4.5,0
5643,14.078,-4.5,0
5644,14.033,-4.5,0
5645,13.988,-4.5,0
5646,13.943,-4.5,0
5647,13.898,-4.5,0
5648,13.853,-4.5,0
5649,13.808,-4.5,0
5650,13.763,-4.5,0
5651,13.718,-4.5,0
5652,13.673,-4.5,0
5653,13.628,-4.5,0
5654,13.583,-4.5,0
5655,13.538,-4.5,0
5656,13.493,-4.5,0
5657,13.448,-4.5,0
5658,13.403,-4.5,0
5659,13.358,-4.5,0
5660,13.313,-4.5,0
5661,13.268,-4.5,0
5662,13.223,-4.5,0
5663,13.178,-4.5,0
5664,13.133,-4.5,0
5665,13.088,-4.5,0
5666,13.043,-4.5,0
5667,12.998,-4.5,0
5668,12.953,-4.5,0
5669,12.908,-4.5,0
5670,12.863,-4.5,0
5671,12.818,-4.5,0
5672,12.773,-4.5,0
5673,12.728,-4.5,0
5674,12.683,-4.5,0
5675,12.638,-4.5,0
5676,12.593,-4.5,0
5677,12.548,-4.5,0
5678,12.503,-4.5,0
5679,12.458,-4.5,0
5680,12.413,-4.5,0
5681,12.368,-4.5,0
5682,12.323,-4.5,0
5683,12.278,-4.5,0
5684,12.233,-4.5,0
5685,12.188,-4.5,0
5686,12.143,-4.5,0
5687,12.098,-4.5,0
5688,12.053,-4.5,0
5689,12.008,-4.5,0
5690,11.963,-4.5,0
5691,11.918,-4.5,0
5692,11.873,-4.5,0
5693,11.828,-4.5,0
5694,11.783,-4.5,0
5695,11.738,-4.5,0
5696,11.693,-4.5,0
5697,11.648,-4.5,0
5698,11.603,-4.5,0
5699,11.558,-4.5,0
5700,11.513,-4.5,0
5701,11.468,-4.5,0
5702,11.423,-4.5,0
5703,11.378,-4.5,0
5704,11.333,-4.5,0
5705,11.288,-4.5,0
5706,11.243,-4.5,0
5707,11.198,-4.5,0
5708,11.153,-4.5,0
5709,11.108,-4.5,0
5710,11.063,-4.5,0
5711,11.018,-4.5,0
5712,10.973,-4.5,0
5713,10.928,-4.5,0
5714,10.883,-4.5,0
5715,10.838,-4.5,0
5716,10.793,-4.5,0
5717,10.748,-4.5,0
5718,10.703,-4.5,0
5719,10.658,-4.5,0
5720,10.613,-4.5,0
5721,10.568,-4.5,0
5722,10.523,-4.5,0
5723,10.478,-4.5,0
5724,10.433,-4.5,0
5725,10.388,-4.5,0
5726,10.343,-4.5,0
5727,10.298,-4.5,0
5728,10.253,-4.5,0
5729,10.208,-4.5,0
5730,10.163,-4.5,0
5731,10.118,-4.5,0
5732,10.073,-4.5,0
5733,10.028,-4.5,0
5734,9.983,-4.5,0
5735,9.938,-4.5,0
5736,9.893,-4.5,0
5737,9.848,-4.5,0
5738,9.803,-4.5,0
5739,9.758,-4.5,0
5740,9.713,-4.5,0
5741,9.668,-4.5,0
5742,9.623,-4.5,0
5743,9.578,-4.5,0
5744,9.533,-4.5,0
5745,9.488,-4.5,0
5746,9.443,-4.5,0
5747,9.398,-4.5,0
5748,9.353,-4.5,0
5749,9.308,-4.5,0
5750,9.263,-4.5,0
5751,9.218,-4.5,0
5752,9.173,-4.5,0
5753,9.128,-4.5,0
5754,9.083,-4.5,0
5755,9.038,-4.5,0
5756,8.993,-4.5,0
5757,8.948,-4.5,0
5758,8.903,-4.5,0
5759,8.858,-4.5,0
5760,8.813,-4.5,0
5761,8.768,-4.5,0
5762,8.723,-4.5,0
5763,8.678,-4.5,0
5764,8.633,-4.5,0
5765,8.588,-4.5,0
5766,8.543,-4.5,0
5767,8.498,-4.5,0
5768,8.453,-4.5,0
5769,8.408,-4.5,0
5770,8.363,-4.5,0
5771,8.318,-4.5,0
5772,8.273,-4.5,0
5773,8.228,-4.5,0
5774,8.183,-4.5,0
5775,8.138,-4.5,0
5776,8.093,-4.5,0
5777,8.048,-4.5,0
5778,8.003,-4.5,0
5779,7.958,-4.5,0
5780,7.913,-4.5,0
5781,7.868,-4.5,0
5782,7.823,-4.5,0
5783,7.778,-4.5,0
5784,7.733,-4.5,0
5785,7.688,-4.5,0
5786,7.643,-4.5,0
5787,7.598,-4.5,0
5788,7.553,-4.5,0
5789,7.508,-4.5,0
5790,7.463,-4.5,0
5791,7.418,-4.5,0
5792,7.373,-4.5,0
5793,7.328,-4.5,0
5794,7.283,-4.5,0
5795,7.238,-4.5,0
5796,7.193,-4.5,0
5797,7.148,-4.5,0
5798,7.103,-4.5,0
5799,7.058,-4.5,0
5800,7.013,-4.5,0
5801,6.968,-4.5,0
5802,6.923,-4.5,0
5803,6.878,-4.5,0
5804,6.833,-4.5,0
5805,6.788,-4.5,0
5806,6.743,-4.5,0
5807,6.698,-4.5,0
5808,6.653,-4.5,0
5809,6.608,-4.5,0
5810,6.563,-4.5,0
5811,6.518,-4.5,0
5812,6.473,-4.5,0
5813,6.428,-4.5,0
5814,6.383,-4.5,0
5815,6.338,-4.5,0
5816,6.293,-4.5,0
5817,6.248,-4.5,0
5818,6.203,-4.5,0
5819,6.158,-4.5,0
5820,6.113,-4.5,0
5821,6.068,-4.5,0
5822,6.023,-4.5,0
5823,5.978,-4.5,0
5824,5.933,-4.5,0
5825,5.888,-4.5,0
5826,5.843,-4.5,0
5827,5.798,-4.5,0
5828,5.753,-4.5,0
5829,5.708,-4.5,0
5830,5.663,-4.5,0
5831,5.618,-4.5,0
5832,5.573,-4.5,0
5833,5.528,-4.5,0
5834,5.483,-4.5,0
5835,5.438,-4.5,0
5836,5.393,-4.5,0
5837,5.348,-4.5,0
5838,5.303,-4.5,0
5839,5.258,-4.5,0
5840,5.213,-4.5,0
5841,5.168,-4.5,0
5842,5.123,-4.5,0
5843,5.078,-4.5,0
5844,5.033,-4.5,0
5845,4.988,-4.5,0
5846,4.943,-4.5,0
5847,4.898,-4.5,0
5848,4.853,-4.5,0
5849,4.808,-4.5,0
5850,4.763,-4.5,0
5851,4.718,-4.5,0
5852,4.673,-4.5,0
5853,4.628,-4.5,0
5854,4.583,-4.5,0
5855,4.538,-4.5,0
5856,4.493,-4.5,0
5857,4.448,-4.5,0
5858,4.403,-4.5,0
5859,4.358,-4.5,0
5860,4.313,-4.5,0
5861,4.268,-4.5,0
5862,4.223,-4.5,0
5863,4.178,-4.5,0
5864,4.133,-4.5,0
5865,4.088,-4.5,0
5866,4.043,-4.5,0
5867,3.998,-4.5,0
5868,3.953,-4.5,0
5869,3.908,-4.5,0
5870,3.863,-4.5,0
5871,3.818,-4.5,0
5872,3.773,-4.5,0
5873,3.728,-4.5,0
5874,3.683,-4.5,0
5875,3.638,-4.5,0
5876,3.593,-4.5,0
5877,3.548,-4.5,0
5878,3.503,-4.5,0
5879,3.458,-4.5,0
5880,3.413,-4.5,0
5881,3.368,-4.5,0
5882,3.323,-4.5,0
5883,3.278,-4.5,0
5884,3.233,-4.5,0
5885,3.188,-4.5,0
5886,3.143,-4.5,0
5887,3.098,-4.5,0
5888,3.053,-4.5,0
5889,3.008,-4.5,0
5890,2.963,-4.5,0
5891,2.918,-4.5,0
5892,2.873,-4.5,0
5893,2.828,-4.5,0
5894,2.783,-4.5,0
5895,2.738,-4.5,0
5896,2.693,-4.5,0
5897,2.648,-4.5,0
5898,2.603,-4.5,0
5899,2.558,-4.5,0
5900,2.513,-4.5,0
5901,2.468,-4.5,0
5902,2.423,-4.5,0
5903,2.378,-4.5,0
5904,2.333,-4.5,0
5905,2.288,-4.5,0
5906,2.243,-4.5,0
5907,2.198,-4.5,0
5908,2.153,-4.5,0
5909,2.108,-4.5,0
5910,2.063,-4.5,0
5911,2.018,-4.5,0
5912,1.973,-4.5,0
5913,1.928,-4.5,0
5914,1.883,-4.5,0
5915,1.838,-4.5,0
5916,1.793,-4.5,0
5917,1.748,-4.5,0
5918,1.703,-4.5,0
5919,1.658,-4.5,0
5920,1.613,-4.5,0
5921,1.568,-4.5,0
5922,1.523,-4.5,0
5923,1.478,-4.5,0
5924,1.433,-4.5,0
5925,1.388,-4.5,0
5926,1.343,-4.5,0
5927,1.298,-4.49,0
5928,1.253,-4.5,0
5929,1.208,-4.5,0
5930,1.163,-4.5,0
5931,1.118,-4.5,0
5932,1.073,-4.5,0
5933,1.028,-4.5,0
5934,0.983,-4.5,0
5935,0.938,-4.5,0
5936,0.893,-4.5,0
5937,0.848,-4.5,0
5938,0.803,-4.5,0
5939,0.758,-4.5,0
5940,0.713,-4.5,0
5941,0.668,-4.5,0
5942,0.623,-4.5,0
5943,0.578,-4.5,0
5944,0.533,-4.5,0
5945,0.488,-4.5,6.35
5946,0.443,-4.5,6.536
5947,0.398,-4.5,6.722
5948,0.353,-4.5,6.908
5949,0.308,-4.5,7.095
5950,0.263,-4.5,7.281
5951,0.218,-4.5,7.467
5952,0.173,-4.5,7.654
5953,0.128,-4.5,7.841
5954,0.083,-4.5,8.027
5955,0.038,-4.48,8.214
5956,0,-3.816,8.372
5957,0,-0.01,8.372
5958,0,0,8.372
5959,0,0,8.372
5960,0,0,8.372
5961,0,0,8.372
5962,0,0,8.372
5963,0,0,8.372
5964,0,0,8.372
5965,0,0,8.372
5966,0,0,8.372
5967,0,0,8.372
5968,0,0,8.372
5969,0,0,8.372
5970,0,0,8.372
5971,0,0,8.372
5972,0,0,8.372
5973,0,0,8.372
5974,0,0,8.372
5975,0,0,8.372
5976,0,0,8.372
5977,0,0,8.372
5978,0,0,8.372
5979,0,0,8.372
5980,0,0,8.372
5981,0,0,8.372
5982,0,0,8.372
5983,0,0,8.372
5984,0,0,8.372
5985,0,0,8.372
5986,0,0,8.372
5987,0,0,8.372
5988,0,0,8.372
5989,0,0,8.372
5990,0,0,8.372
5991,0,0,8.372
5992,0,0,8.372
5993,0,0,8.372
5994,0,0,8.372
5995,0,0,8.372
5996,0,0,8.372
5997,0,0,8.372
5998,0,0,8.372
5999,0,0,8.372
6000,0,0,8.372
6001,0,0,8.372
6002,0,0,8.372
6003,0,0,8.372
6004,0,0,8.372
6005,0,0,8.372
6006,0,0,8.372
6007,0,0,8.372
6008,0,0,8.372
6009,0,0,8.372
6010,0,0,8.372
6011,0,0,8.372
6012,0,0,8.372
6013,0,0,8.372
6014,0,0,8.372
6015,0,0,8.372
6016,0,0,8.372
6017,0,0,8.372
6018,0,0,8.372
6019,0,0,8.372
6020,0,0,8.372
6021,0,0,8.372
6022,0,0,8.372
6023,0,0,8.372
6024,0,0,8.372
6025,0,0,8.372
6026,0,0,8.372
6027,0,0,8.372
6028,0,0,8.372
6029,0,0,8.372
6030,0,0,8.372
6031,0,0,8.372
6032,0,0,8.372
6033,0,0,8.372
6034,0,0,8.372
6035,0,0,8.372
6036,0,0,8.372
6037,0,0,8.372
6038,0,0,8.372
6039,0,0,8.372
6040,0,0,8.372
6041,0,0,8.372
6042,0,0,8.372
6043,0,0,8.372
6044,0,0,8.372
6045,0,0,8.372
6046,0,0,8.372
6047,0,0,8.372
6048,0,0,8.372
6049,0,0,8.372
6050,0,0,8.372
6051,0,0,8.372
6052,0,0,8.372
6053,0,0,8.372
6054,0,0,8.372
6055,0,0,8.372
6056,0,0,8.372
6057,0,0,8.372
6058,0,0,8.372
6059,0,0,8.372
6060,0,0,8.372
6061,0,0,8.372
6062,0,0,8.372
6063,0,0,8.372
6064,0,0,8.372
6065,0,0,8.372
6066,0,0,8.372
6067,0,0,8.372
6068,0,0,8.372
6069,0,0,8.372
6070,0,0,8.372
6071,0,0,8.372
6072,0,0,8.372
6073,0,0,8.372
6074,0,0,8.372
6075,0,0,8.372
6076,0,0,8.372
6077,0,0,8.372
6078,0,0,8.372
6079,0,0,8.372
6080,0,0,8.372
6081,0,0,8.372
6082,0,0,8.372
6083,0,0,8.372
6084,0,0,8.372
6085,0,0,8.372
6086,0,0,8.372
6087,0,0,8.372
6088,0,0,8.372
6089,0,0,8.372
6090,0,0,8.372
6091,0,0,8.372
6092,0,0,8.372
6093,0,0,8.372
6094,0,0,8.372
6095,0,0,8.372
6096,0,0,8.372
6097,0,0,8.372
6098,0,0,8.372
6099,0,0,8.372
6100,0,0,8.372
6101,0,0,8.372
6102,0,0,8.372
6103,0,0,8.372
6104,0,0,8.372
6105,0,0,8.372
6106,0,0,8.372
6107,0,0,8.372
6108,0,0,8.372
6109,0,0,8.372
6110,0,0,8.372
6111,0,0,8.372
6112,0,0,8.372
6113,0,0,8.372
6114,0,0,8.372
6115,0,0,8.372
6116,0,0,8.372
6117,0,0,8.372
6118,0,0,8.372
6119,0,0,8.372
6120,0,0,8.372
6121,0,0,8.372
6122,0,0,8.372
6123,0,0,8.372
6124,0,0,8.372
6125,0,0,8.372
6126,0,0,8.372
6127,0,0,8.372
6128,0,0,8.372
6129,0,0,8.372
6130,0,0,8.372
6131,0,0,8.372
6132,0,0,8.372
6133,0,0,8.372
6134,0,0,8.372
6135,0,0,8.372
6136,0,0,8.372
6137,0,0,8.372
6138,0,0,8.372
6139,0,0,8.372
6140,0,0,8.372
6141,0,0,8.372
6142,0,0,8.372
6143,0,0,8.372
6144,0,0,8.372
6145,0,0,8.372
6146,0,0,8.372
6147,0,0,8.372
6148,0,0,8.372
6149,0,0,8.372
6150,0,0,8.372
6151,0,0,8.372
6152,0,0,8.372
6153,0,0,8.372
6154,0,0,8.372
6155,0,0,8.372
6156,0,0,8.372
6157,0,0,8.372
6158,0,0,8.372
6159,0,0,8.372
6160,0,0,8.372
6161,0,0,8.372
6162,0,0,8.372
6163,0,0,8.372
6164,0,0,8.372
6165,0,0,8.372
6166,0,0,8.372
6167,0,0,8.372
6168,0,0,8.372
6169,0,0,8.372
6170,0,0,8.372
6171,0,0,8.372
6172,0,0,8.372
6173,0,0,8.372
6174,0,0,8.372
6175,0,0,8.372
6176,0,0,8.372
6177,0,0,8.372
6178,0,0,8.372
6179,0,0,8.372
6180,0,0,8.372
6181,0,0,8.372
6182,0,0,8.372
6183,0,0,8.372
6184,0,0,8.372
6185,0,0,8.372
6186,0,0,8.372
6187,0,0,8.372
6188,0,0,8.372
6189,0,0,8.372
6190,0,0,8.372
6191,0,0,8.372
6192,0,0,8.372
6193,0,0,8.372
6194,0,0,8.372
6195,0,0,8.372
6196,0,0,8.372
6197,0,0,8.372
6198,0,0,8.372
6199,0,0,8.372
6200,0,0,8.372
6201,0,0,8.372
6202,0,0,8.372
6203,0,0,8.372
6204,0,0,8.372
6205,0,0,8.372
6206,0,0,8.372
6207,0,0,8.372
6208,0,0,8.372
6209,0,0,8.372
6210,0,0,8.372
6211,0,0,8.372
6212,0,0,8.372
6213,0,0,8.372
6214,0,0,8.372
6215,0,0,8.372
6216,0,0,8.372
6217,0,0,8.372
6218,0,0,8.372
6219,0,0,8.372
6220,0,0,8.372
6221,0,0,8.372
6222,0,0,8.372
6223,0,0,8.372
6224,0,0,8.372
6225,0,0,8.372
6226,0,0,8.372
6227,0,0,8.372
6228,0,0,8.372
6229,0,0,8.372
6230,0,0,8.372
6231,0,0,8.372
6232,0,0,8.372
6233,0,0,8.372
6234,0,0,8.372
6235,0,0,8.372
6236,0,0,8.372
6237,0,0,8.372
6238,0,0,8.372
6239,0,0,8.372
6240,0,0,8.372
6241,0,0,8.372
6242,0,0,8.372
6243,0,0,8.372
6244,0,0,8.372
6245,0,0,8.372
6246,0,0,8.372
6247,0,0,8.372
6248,0,0,8.372
6249,0,0,8.372
6250,0,0,8.372
6251,0,0,8.372
6252,0,0,8.372
6253,0,0,8.372
6254,0,0,8.372
6255,0,0,8.372
6256,0,0,8.372
6257,0,0,8.372
6258,0,0,8.372
6259,0,0,8.372
6260,0,0,8.372
6261,0,0,8.372
6262,0,0,8.372
6263,0,0,8.372
6264,0,0,8.372
6265,0,0,8.372
6266,0,0,8.372
6267,0,0,8.372
6268,0,0,8.372
6269,0,0,8.372
6270,0,0,8.372
6271,0,0,8.372
6272,0,0,8.372
6273,0,0,8.372
6274,0,0,8.372
6275,0,0,8.372
6276,0,0,8.372
6277,0,0,8.372
6278,0,0,8.372
6279,0,0,8.372
6280,0,0,8.372
6281,0,0,8.372
6282,0,0,8.372
6283,0,0,8.372
6284,0,0,8.372
6285,0,0,8.372
6286,0,0,8.372
6287,0,0,8.372
6288,0,0,8.372
6289,0,0,8.372
6290,0,0,8.372
6291,0,0,8.372
6292,0,0,8.372
6293,0,0,8.372
6294,0,0,8.372
6295,0,0,8.372
6296,0,0,8.372
6297,0,0,8.372
6298,0,0,8.372
6299,0,0,8.372
6300,0,0,8.372
6301,0,0,8.372
6302,0,0,8.372
6303,0,0,8.372
6304,0,0,8.372
6305,0,0,8.372
6306,0,0,8.372
6307,0,0,8.372
6308,0,0,8.372
6309,0,0,8.372
6310,0,0,8.372
6311,0,0,8.372
6312,0,0,8.372
6313,0,0,8.372
6314,0,0,8.372
6315,0,0,8.372
6316,0,0,8.372
6317,0,0,8.372
6318,0,0,8.372
6319,0,0,8.372
6320,0,0,8.372
6321,0,0,8.372
6322,0,0,8.372
6323,0,0,8.372
6324,0,0,8.372
6325,0,0,8.372
6326,0,0,8.372
6327,0,0,8.372
6328,0,0,8.372
6329,0,0,8.372
6330,0,0,8.372
6331,0,0,8.372
6332,0,0,8.372
6333,0,0,8.372
6334,0,0,8.372
6335,0,0,8.372
6336,0,0,8.372
6337,0,0,8.372
6338,0,0,8.372
6339,0,0,8.372
6340,0,0,8.372
6341,0,0,8.372
6342,0,0,8.372
6343,0,0,8.372
6344,0,0,8.372
6345,0,0,8.372
6346,0,0,8.372
6347,0,0,8.372
6348,0,0,8.372
6349,0,0,8.372
6350,0,0,8.372
6351,0,0,8.372
6352,0,0,8.372
6353,0,0,8.372
6354,0,0,8.372
6355,0,0,8.372
6356,0,0,8.372
6357,0,0,8.372
6358,0,0,8.372
6359,0,0,8.372
6360,0,0,8.372
6361,0,0,8.372
6362,0,0,8.372
6363,0,0,8.372
6364,0,0,8.372
6365,0,0,8.372
6366,0,0,8.372
6367,0,0,8.372
6368,0,0,8.372
6369,0,0,8.372
6370,0,0,8.372
6371,0,0,8.372
6372,0,0,8.372
6373,0,0,8.372
6374,0,0,8.372
6375,0,0,8.372
6376,0,0,8.372
6377,0,0,8.372
6378,0,0,8.372
6379,0,0,8.372
6380,0,0,8.372
6381,0,0,8.372
6382,0,0,8.372
6383,0,0,8.372
6384,0,0,8.372
6385,0,0,8.372
6386,0,0,8.372
6387,0,0,8.372
6388,0,0,8.372
6389,0,0,8.372
6390,0,0,8.372
6391,0,0,8.372
6392,0,0,8.372
6393,0,0,8.372
6394,0,0,8.372
6395,0,0,8.372
6396,0,0,8.372
6397,0,0,8.372
6398,0,0,8.372
6399,0,0,8.372
6400,0,0,8.372
6401,0,0,8.372
6402,0,0,8.372
6403,0,0,8.372
6404,0,0,8.372
6405,0,0,8.372
6406,0,0,8.372
6407,0,0,8.372
6408,0,0,8.372
6409,0,0,8.372
6410,0,0,8.372
6411,0,0,8.372
6412,0,0,8.372
6413,0,0,8.372
6414,0,0,8.372
6415,0,0,8.372
6416,0,0,8.372
6417,0,0,8.372
6418,0,0,8.372
6419,0,0,8.372
6420,0,0,8.372
6421,0,0,8.372
6422,0,0,8.372
6423,0,0,8.372
6424,0,0,8.372
6425,0,0,8.372
6426,0,0,8.372
6427,0,0,8.372
6428,0,0,8.372
6429,0,0,8.372
6430,0,0,8.372
6431,0,0,8.372
6432,0,0,8.372
6433,0,0,8.372
6434,0,0,8.372
6435,0,0,8.372
6436,0,0,8.372
6437,0,0,8.372
6438,0,0,8.372
6439,0,0,8.372
6440,0,0,8.372
6441,0,0,8.372
6442,0,0,8.372
6443,0,0,8.372
6444,0,0,8.372
6445,0,0,8.372
6446,0,0,8.372
6447,0,0,8.372
6448,0,0,8.372
6449,0,0,8.372
6450,0,0,8.372
6451,0,0,8.372
6452,0,0,8.372
6453,0,0,8.372
6454,0,0,8.372
6455,0,0,8.372
6456,0,0,8.372
6457,0,0,8.372
6458,0,0,8.372
6459,0,0,8.372
6460,0,0,8.372
6461,0,0,8.372
6462,0,0,8.372
6463,0,0,8.372
6464,0,0,8.372
6465,0,0,8.372
6466,0,0,8.372
6467,0,0,8.372
6468,0,0,8.372
6469,0,0,8.372
6470,0,0,8.372
6471,0,0,8.372
6472,0,0,8.372
6473,0,0,8.372
6474,0,0,8.372
6475,0,0,8.372
6476,0,0,8.372
6477,0,0,8.372
6478,0,0,8.372
6479,0,0,8.372
6480,0,0,8.372
6481,0,0,8.372
6482,0,0,8.372
6483,0,0,8.372
6484,0,0,8.372
6485,0,0,8.372
6486,0,0,8.372
6487,0,0,8.372
6488,0,0,8.372
6489,0,0,8.372
6490,0,0,8.372
6491,0,0,8.372
6492,0,0,8.372
6493,0,0,8.372
6494,0,0,8.372
6495,0,0,8.372
6496,0,0,8.372
6497,0,0,8.372
6498,0,0,8.372
6499,0,0,8.372
6500,0,0,8.372
6501,0,0,8.372
6502,0,0,8.372
6503,0,0,8.372
6504,0,0,8.372
6505,0,0,8.372
6506,0,0,8.372
6507,0,0,8.372
6508,0,0,8.372
6509,0,0,8.372
6510,0,0,8.372
6511,0,0,8.372
6512,0,0,8.372
6513,0,0,8.372
6514,0,0,8.372
6515,0,0,8.372
6516,0,0,8.372
6517,0,0,8.372
6518,0,0,8.372
6519,0,0,8.372
6520,0,0,8.372
6521,0,0,8.372
6522,0,0,8.372
6523,0,0,8.372
6524,0,0,8.372
6525,0,0,8.372
6526,0,0,8.372
6527,0,0,8.372
6528,0,0,8.372
6529,0,0,8.372
6530,0,0,8.372
6531,0,0,8.372
6532,0,0,8.372
6533,0,0,8.372
6534,0,0,8.372
6535,0,0,8.372
6536,0,0,8.372
6537,0,0,8.372
6538,0,0,8.372
6539,0,0,8.372
6540,0,0,8.372
6541,0,0,8.372
6542,0,0,8.372
6543,0,0,8.372
6544,0,0,8.372
6545,0,0,8.372
6546,0,0,8.372
6547,0,0,8.372
6548,0,0,8.372
6549,0,0,8.372
6550,0,0,8.372
6551,0,0,8.372
6552,0,0,8.372
6553,0,0,8.372
6554,0,0,8.372
6555,0,0,8.372
6556,0,0,8.372
6557,0,0,8.372
6558,0,0,8.372
6559,0,0,8.372
6560,0,0,8.372
6561,0,0,8.372
6562,0,0,8.372
6563,0,0,8.372
6564,0,0,8.372
6565,0,0,8.372
6566,0,0,8.372
6567,0,0,8.372
6568,0,0,8.372
6569,0,0,8.372
6570,0,0,8.372
6571,0,0,8.372
6572,0,0,8.372
6573,0,0,8.372
6574,0,0,8.372
6575,0,0,8.372
6576,0,0,8.372
6577,0,0,8.372
6578,0,0,8.372
6579,0,0,8.372
6580,0,0,8.372
6581,0,0,8.372
6582,0,0,8.372
6583,0,0,8.372
6584,0,0,8.372
6585,0,0,8.372
6586,0,0,8.372
6587,0,0,8.372
6588,0,0,8.372
6589,0,0,8.372
6590,0,0,8.372
6591,0,0,8.372
6592,0,0,8.372
6593,0,0,8.372
6594,0,0,8.372
6595,0,0,8.372
6596,0,0,8.372
6597,0,0,8.372
6598,0,0,8.372
6599,0,0,8.372
6600,0,0,8.372
6601,0,0,8.372
6602,0,0,8.372
6603,0,0,8.372
6604,0,0,8.372
6605,0,0,8.372
6606,0,0,8.372
6607,0,0,8.372
6608,0,0,8.372
6609,0,0,8.372
6610,0,0,8.372
6611,0,0,8.372
6612,0,0,8.372
6613,0,0,8.372
6614,0,0,8.372
6615,0,0,8.372
6616,0,0,8.372
6617,0,0,8.372
6618,0,0,8.372
6619,0,0,8.372
6620,0,0,8.372
6621,0,0,8.372
6622,0,0,8.372
6623,0,0,8.372
6624,0,0,8.372
6625,0,0,8.372
6626,0,0,8.372
6627,0,0,8.372
6628,0,0,8.372
6629,0,0,8.372
6630,0,0,8.372
6631,0,0,8.372
6632,0,0,8.372
6633,0,0,8.372
6634,0,0,8.372
6635,0,0,8.372
6636,0,0,8.372
6637,0,0,8.372
6638,0,0,8.372
6639,0,0,8.372
6640,0,0,8.372
6641,0,0,8.372
6642,0,0,8.372
6643,0,0,8.372
6644,0,0,8.372
6645,0,0,8.372
6646,0,0,8.372
6647,0,0,8.372
6648,0,0,8.372
6649,0,0,8.372
6650,0,0,8.372
6651,0,0,8.372
6652,0,0,8.372
6653,0,0,8.372
6654,0,0,8.372
6655,0,0,8.372
6656,0,0,8.372
6657,0,0,8.372
6658,0,0,8.372
6659,0,0,8.372
6660,0,0,8.372
6661,0,0,8.372
6662,0,0,8.372
6663,0,0,8.372
6664,0,0,8.372
